ATTR_CODE,IMG_PATH
AT1000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/00/01/71/photo3jpg.jpg?w=600&h=500&s=1
AT1001,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/30/ba/fc/lrm-export-20180818-193718.jpg?w=600&h=500&s=1
AT1002,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e6/92/0f/viaduct-harbour.jpg?w=600&h=500&s=1
AT1003,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/6b/75/85/queen-street.jpg?w=600&h=500&s=1
AT1004,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ff/32/63/photo3jpg.jpg?w=600&h=500&s=1
AT1005,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/47/af/0b/auckland-harbour-bridge.jpg?w=600&h=500&s=1
AT1006,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/dc/e6/a1/enjoy-beautiful-views.jpg?w=600&h=500&s=1
AT1007,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f2/0b/65/tamaki-makaurau-auckland.jpg?w=600&h=500&s=1
AT1008,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/0a/55/f3/albert-park.jpg?w=600&h=500&s=1
AT1009,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/56/82/de/20190716-153755-largejpg.jpg?w=600&h=500&s=1
AT1010,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e2/4a/d1/maori-court-houses-one.jpg?w=600&h=500&s=1
AT1011,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f8/0d/11/great-building.jpg?w=600&h=500&s=1
AT1012,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b7/a7/51/20190525-120723-largejpg.jpg?w=600&h=500&s=1
AT1013,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/84/ae/ac/walkway.jpg?w=600&h=500&s=1
AT1014,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9e/29/88/20171229-152115-largejpg.jpg?w=600&h=500&s=1
AT1015,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/98/ad/e0/breathtaking.jpg?w=600&h=500&s=1
AT1016,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8e/19/5e/sommertageblog-on-instagram.jpg?w=600&h=500&s=1
AT1017,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f7/bd/29/photo3jpg.jpg?w=600&h=500&s=1
AT1018,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/48/d4/02/lake-wakatipu.jpg?w=600&h=500&s=1
AT1019,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/78/45/eb/i-site-building.jpg?w=600&h=500&s=1
AT1020,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e4/ab/ff/queenstown-mall.jpg?w=600&h=500&s=1
AT1021,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/53/11/28/caption.jpg?w=600&h=500&s=1
AT1022,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a9/65/d3/walter-peak-gourmet-bbq.jpg?w=1200&h=900&s=1
AT1023,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cb/74/9f/kawarau-bridge-bungy.jpg?w=1000&h=800&s=1
AT1024,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d1/73/cc/photo0jpg.jpg?w=600&h=500&s=1
AT1025,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/24/4e/10/hagley-park.jpg?w=600&h=500&s=1
AT1026,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/fb/f3/d8/photo1jpg.jpg?w=600&h=500&s=1
AT1027,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/bd/48/b9/christchurch-tramway.jpg?w=600&h=500&s=1
AT1028,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/88/30/e5/international-antarctic.jpg?w=600&h=500&s=1
AT1029,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bd/63/d9/tellerin-arasindan-cekebildigi.jpg?w=600&h=500&s=1
AT1030,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/b4/ac/df/canterbury-museum-at.jpg?w=600&h=500&s=1
AT1031,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/e5/65/44/back-where-he-belongs.jpg?w=600&h=500&s=1
AT1032,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/2b/c6/ea/playground.jpg?w=600&h=500&s=1
AT1033,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/09/1e/63/caption.jpg?w=600&h=500&s=1
AT1034,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/8b/57/f6/enjoy-the-spectacular.jpg?w=1000&h=800&s=1
